,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score,AVERAGE CLASS SIZE,schoolyear,frl_percent,total_enrollment,ell_num,ell_percent,sped_num,sped_percent,asian_num,asian_per,black_num,black_per,hispanic_num,hispanic_per,white_num,white_per,male_num,male_per,female_num,female_per,Total_score_Avg
SAT Critical Reading Avg. Score,1.0,0.8821037111552792,0.9726390839264567,0.36830259766874357,,-0.7314547888479603,0.33637316254691035,-0.22763542867248202,-0.4820941475904626,0.041152118474158124,-0.3622337199252557,0.4138619760695394,0.4306068530737413,0.06214011249010261,-0.21707327440302884,0.016156316223148885,-0.3673937094914775,0.4233972403592251,0.6180158616340732,0.293635219439901,-0.12601353027170256,0.3605887306641346,0.1260561167720693,0.9768191769301243
SAT Math Avg. Score,0.8821037111552792,1.0,0.8945505819339674,0.39273579690844745,,-0.6472419697941549,0.43441351618236274,0.02688679290085162,-0.21342310402270565,0.08793042765792808,-0.4775996758709054,0.5563164354236685,0.6983428242410307,0.03042269870726617,-0.38253215501784466,0.10775219052984887,-0.3503410352417422,0.46780588113137783,0.6196152244512322,0.4104422092507563,-0.029207810957733726,0.43153711633572245,0.02926437319345387,0.95640635395584
SAT Writing Avg. Score,0.9726390839264567,0.8945505819339674,1.0,0.3910083373213821,,-0.7201465690008139,0.3449886587731987,-0.19947402646938214,-0.4311279654261464,0.03818698252925438,-0.3763220937308923,0.42810689118691575,0.45810679841251356,0.03586195718148857,-0.27005028558709604,0.02205371653533245,-0.34255455469185425,0.44722702133929637,0.6465131138474193,0.29358520753197415,-0.16742270821810934,0.37810548972322466,0.1674738136219369,0.9817509791472211
AVERAGE CLASS SIZE,0.36830259766874357,0.39273579690844745,0.3910083373213821,1.0,,-0.3791257326026054,0.5360868073215727,0.1480728661357263,-0.21326049031223324,0.43203623832406574,-0.05557271607458418,0.3981242225264172,0.21598044940102204,0.3684420179586154,-0.12601248652499347,0.36566773462092017,-0.1620310375127605,0.3861400301100021,0.30954510169929367,0.5054822303337333,0.013523368600908463,0.5333244687236974,-0.01354196660198224,0.39596397767241415
schoolyear,,,,,,,,,,,,,,,,,,,,,,,,
frl_percent,-0.7314547888479603,-0.6472419697941549,-0.7201465690008139,-0.3791257326026054,,1.0,-0.3505518595794121,0.12295183114190637,0.42095475048585207,-0.1741634482951752,0.2574868250758203,-0.32715350922964026,-0.3326554167650728,-0.17712553740966389,0.03148319420896601,0.009585312841267967,0.541250977955077,-0.5077194717935216,-0.6908946520469905,-0.31153000814220705,0.049599605448492234,-0.36954718889307986,-0.04959763789701631,-0.7181633396005848
total_enrollment,0.33637316254691035,0.43441351618236274,0.3449886587731987,0.5360868073215727,,-0.3505518595794121,1.0,0.5635116252303686,-0.05889612963933851,0.8036972161911412,-0.13502329052726852,0.8102361675194426,0.41072780608968357,0.5544511081484795,-0.25377180838100477,0.720819567786417,-0.16722223712344703,0.7115774985998462,0.36263416913689617,0.9705435838769105,0.05642828657076641,0.964622356163094,-0.056401769696578306,0.3857407329174131
ell_num,-0.22763542867248202,0.02688679290085162,-0.19947402646938214,0.1480728661357263,,0.12295183114190637,0.5635116252303686,1.0,0.5861908072402474,0.5026473095781183,-0.1984786015492865,0.4436307037534354,0.33308738103340696,0.19746427008938539,-0.3540831489038674,0.6397398028376777,0.16214119972913293,0.25112332805691095,0.036830296545323986,0.5695065717653484,0.114824040491133,0.5188528155126007,-0.11479918125549733,-0.13035473231460218
ell_percent,-0.4820941475904626,-0.21342310402270565,-0.4311279654261464,-0.21326049031223324,,0.42095475048585207,-0.05889612963933851,0.5861908072402474,1.0,-0.11623125308179041,-0.29587936450441976,-0.0010209580565854318,0.19494990838028625,-0.22457741452723914,-0.3753180184556326,0.1027355946688436,0.3681034880848256,-0.09532051092145324,-0.15040268289331243,-0.036718518385058185,0.12142501191737742,-0.0791807849109934,-0.12140410320914068,-0.37950957109459205
sped_num,0.041152118474158124,0.08793042765792808,0.03818698252925438,0.43203623832406574,,-0.1741634482951752,0.8036972161911412,0.5026473095781183,-0.11623125308179041,1.0,0.2883909106855769,0.4268327648329302,0.09824475067716881,0.5428634064853102,-0.14732925386597423,0.7598745226219752,-0.020214341760830763,0.552684682922393,0.22768309158212896,0.795162079243991,0.13541415306804788,0.75869838936187,-0.13539735356187402,0.058782065690034226
sped_percent,-0.3622337199252557,-0.4775996758709054,-0.3763220937308923,-0.05557271607458418,,0.2574868250758203,-0.13502329052726852,-0.1984786015492865,-0.29587936450441976,0.2883909106855769,1.0,-0.26038141663502434,-0.4612601031265059,0.02568418061931127,0.18287535025654988,0.03186943141680388,0.21130271465987116,-0.14662258739904246,-0.23682365009380726,-0.09047947246810077,0.23696562697902793,-0.17463762029519497,-0.2369893434962408,-0.4206457473799026
asian_num,0.4138619760695394,0.5563164354236685,0.42810689118691575,0.3981242225264172,,-0.32715350922964026,0.8102361675194426,0.4436307037534354,-0.0010209580565854318,0.4268327648329302,-0.26038141663502434,1.0,0.6580736117214896,0.26456223136265067,-0.286694606804434,0.38625004727581524,-0.24200621426225005,0.5491508680065127,0.28928523759847885,0.8042247916601448,0.05295827784944497,0.7620334383493446,-0.05293691894998392,0.48393868449477506
asian_per,0.4306068530737413,0.6983428242410307,0.45810679841251356,0.21598044940102204,,-0.3326554167650728,0.41072780608968357,0.33308738103340696,0.19494990838028625,0.09824475067716881,-0.4612601031265059,0.6580736117214896,1.0,-0.007734313187172995,-0.42119671475117515,0.11513014011116664,-0.3282690719250039,0.31012268177856617,0.33202994380801554,0.404877071343927,0.007607051265295044,0.38936266377143114,-0.007568713335424064,0.5522040147659214
black_num,0.06214011249010261,0.03042269870726617,0.03586195718148857,0.3684420179586154,,-0.17712553740966389,0.5544511081484795,0.19746427008938539,-0.22457741452723914,0.5428634064853102,0.02568418061931127,0.26456223136265067,-0.007734313187172995,1.0,0.4333136500692431,0.2876819864238823,-0.4155326566866778,0.1432908725557365,-0.07576690552243563,0.5203700812167952,0.025633546576373137,0.554259862210716,-0.025617125669213862,0.04340770212679752
black_per,-0.21707327440302884,-0.38253215501784466,-0.27005028558709604,-0.12601248652499347,,0.03148319420896601,-0.25377180838100477,-0.3540831489038674,-0.3753180184556326,-0.14732925386597423,0.18287535025654988,-0.286694606804434,-0.42119671475117515,0.4333136500692431,1.0,-0.4271893215096734,-0.5967812319664578,-0.30112300056653873,-0.40634669597621664,-0.24739906938028935,0.005167606227454498,-0.2435837731954539,-0.005178598700922025,-0.30279420548507713
hispanic_num,0.016156316223148885,0.10775219052984887,0.02205371653533245,0.36566773462092017,,0.009585312841267967,0.720819567786417,0.6397398028376777,0.1027355946688436,0.7598745226219752,0.03186943141680388,0.38625004727581524,0.11513014011116664,0.2876819864238823,-0.4271893215096734,1.0,0.3523695178341413,0.3005199350444026,0.07015038745688289,0.7147950554392904,0.07799070066608124,0.6786753577089797,-0.07797612625008164,0.052671614371880913
hispanic_per,-0.3673937094914775,-0.3503410352417422,-0.34255455469185425,-0.1620310375127605,,0.541250977955077,-0.16722223712344703,0.16214119972913293,0.3681034880848256,-0.020214341760830763,0.21130271465987116,-0.24200621426225005,-0.3282690719250039,-0.4155326566866778,-0.5967812319664578,0.3523695178341413,1.0,-0.24807305025323464,-0.304128434147592,-0.14865065782103193,0.029563657869670586,-0.17624501588416103,-0.02959465999795534,-0.3636963781719653
white_num,0.4233972403592251,0.46780588113137783,0.44722702133929637,0.3861400301100021,,-0.5077194717935216,0.7115774985998462,0.25112332805691095,-0.09532051092145324,0.552684682922393,-0.14662258739904246,0.5491508680065127,0.31012268177856617,0.1432908725557365,-0.30112300056653873,0.3005199350444026,-0.24807305025323464,1.0,0.7184657451746843,0.6675971537765435,-0.004738981149998916,0.7115933649630589,0.004761175235683366,0.46050522849998926
white_per,0.6180158616340732,0.6196152244512322,0.6465131138474193,0.30954510169929367,,-0.6908946520469905,0.36263416913689617,0.036830296545323986,-0.15040268289331243,0.22768309158212896,-0.23682365009380726,0.28928523759847885,0.33202994380801554,-0.07576690552243563,-0.40634669597621664,0.07015038745688289,-0.304128434147592,0.7184657451746843,1.0,0.3223607833660093,-0.0699901722065754,0.3821879220553478,0.0700252012018098,0.6465682851784665
male_num,0.293635219439901,0.4104422092507563,0.29358520753197415,0.5054822303337333,,-0.31153000814220705,0.9705435838769105,0.5695065717653484,-0.036718518385058185,0.795162079243991,-0.09047947246810077,0.8042247916601448,0.404877071343927,0.5203700812167952,-0.24739906938028935,0.7147950554392904,-0.14865065782103193,0.6675971537765435,0.3223607833660093,1.0,0.23903052039030334,0.8726914851058197,-0.23900802076984956,0.3458084324769524
male_per,-0.12601353027170256,-0.029207810957733726,-0.16742270821810934,0.013523368600908463,,0.049599605448492234,0.05642828657076641,0.114824040491133,0.12142501191737742,0.13541415306804788,0.23696562697902793,0.05295827784944497,0.007607051265295044,0.025633546576373137,0.005167606227454498,0.07799070066608124,0.029563657869670586,-0.004738981149998916,-0.0699901722065754,0.23903052039030334,1.0,-0.14720032061996297,-0.999999629673928,-0.10762434381017753
female_num,0.3605887306641346,0.43153711633572245,0.37810548972322466,0.5333244687236974,,-0.36954718889307986,0.964622356163094,0.5188528155126007,-0.0791807849109934,0.75869838936187,-0.17463762029519497,0.7620334383493446,0.38936266377143114,0.554259862210716,-0.2435837731954539,0.6786753577089797,-0.17624501588416103,0.7115933649630589,0.3821879220553478,0.8726914851058197,-0.14720032061996297,1.0,0.14722952428670272,0.40358146064217737
female_per,0.1260561167720693,0.02926437319345387,0.1674738136219369,-0.01354196660198224,,-0.04959763789701631,-0.056401769696578306,-0.11479918125549733,-0.12140410320914068,-0.13539735356187402,-0.2369893434962408,-0.05293691894998392,-0.007568713335424064,-0.025617125669213862,-0.005178598700922025,-0.07797612625008164,-0.02959465999795534,0.004761175235683366,0.0700252012018098,-0.23900802076984956,-0.999999629673928,0.14722952428670272,1.0,0.10767624668812599
Total_score_Avg,0.9768191769301243,0.95640635395584,0.9817509791472211,0.39596397767241415,,-0.7181633396005848,0.3857407329174131,-0.13035473231460218,-0.37950957109459205,0.058782065690034226,-0.4206457473799026,0.48393868449477506,0.5522040147659214,0.04340770212679752,-0.30279420548507713,0.052671614371880913,-0.3636963781719653,0.46050522849998926,0.6465682851784665,0.3458084324769524,-0.10762434381017753,0.40358146064217737,0.10767624668812599,1.0
